日期,收盘价,净值,估值,溢价率
1/23/2024,1.1720,1.1540,36.8137,1.9130%
1/24/2024,1.1810,1.1653,37.2201,2.3131%
1/25/2024,1.1850,1.1696,37.2199,1.4989%
1/26/2024,1.1700,1.1574,36.9367,0.0171%
1/29/2024,1.1850,1.1704,37.2675,2.4378%
1/30/2024,1.2070,1.1596,35.2740,3.1183%
1/31/2024,1.1720,1.1286,34.2033,1.0345%
2/1/2024,1.1570,1.1422,33.6493,2.5164%
2/2/2024,1.1900,1.1755,34.4546,4.1849%
2/5/2024,1.2120,1.1824,34.5830,3.0087%
2/6/2024,1.2300,1.1749,34.4948,4.1050%
2/7/2024,1.2180,1.1953,35.0389,3.6949%
2/8/2024,1.2590,1.1986,35.0762,5.2588%
2/19/2024,1.2590,1.1909,34.6140,5.7361%
2/20/2024,1.2560,1.1773,34.1823,5.4310%
2/21/2024,1.2340,1.1663,33.2821,4.8785%
2/22/2024,1.2790,1.2214,34.5390,9.6254%
2/23/2024,1.3250,1.2184,34.4097,8.4199%
2/26/2024,1.3070,1.2147,33.9818,7.3423%
2/27/2024,1.3090,1.2169,34.1275,7.7810%
2/28/2024,1.3340,1.2062,33.8177,9.5868%
2/29/2024,1.3270,1.2231,34.2563,10.0514%
3/1/2024,1.3710,1.2483,34.6718,12.0098%
3/4/2024,1.4390,1.2478,34.4661,15.2860%
3/5/2024,1.3660,1.2249,33.8267,9.4025%
3/6/2024,1.3950,1.2373,34.0357,13.9241%
3/7/2024,1.3660,1.2671,34.9812,10.3660%
3/8/2024,1.4310,1.2379,34.4454,12.8727%
3/11/2024,1.4090,1.2284,34.3320,13.8218%
3/12/2024,1.4380,1.2585,35.0900,17.0533%
3/13/2024,1.4160,1.2449,34.8572,12.4613%
3/14/2024,1.4340,1.2418,35.0511,15.1530%
3/15/2024,1.4190,1.2251,34.5861,14.3433%
3/18/2024,1.4370,1.2392,35.1279,17.3253%
3/19/2024,1.3960,1.2419,35.2268,12.5806%
3/20/2024,1.3970,1.2591,35.3067,12.4618%
3/21/2024,1.3800,1.2644,35.2880,9.6456%
3/22/2024,1.3460,1.2738,35.5876,6.4116%
3/25/2024,1.3770,1.2674,35.3139,8.1697%
3/26/2024,1.4010,1.2577,35.1041,10.5325%
3/27/2024,1.3990,1.2583,35.1218,11.1641%
3/28/2024,1.3850,1.2560,35.0323,10.0779%
3/29/2024,1.3730,1.2560,35.0327,9.3240%
4/1/2024,1.3960,1.2654,35.3011,11.1465%
4/2/2024,1.3860,1.2560,35.0511,9.4787%
4/3/2024,1.3570,1.2593,35.1453,8.0930%
4/8/2024,1.3420,1.2517,35.0292,7.0346%
4/9/2024,1.3230,1.2553,35.1521,5.7047%
4/10/2024,1.3400,1.2484,34.9962,6.7474%
4/11/2024,1.3190,1.2767,35.8188,5.6806%
4/12/2024,1.3870,1.2540,35.2764,8.5629%
4/15/2024,1.3800,1.2310,34.5854,10.1181%
4/16/2024,1.3150,1.2349,34.6087,6.9019%
4/17/2024,1.3180,1.2140,34.2106,6.7898%
4/18/2024,1.3160,1.2078,34.0498,8.4645%
4/19/2024,1.2680,1.1703,33.0721,4.9930%
4/22/2024,1.2400,1.1864,33.5238,6.1280%
4/23/2024,1.2560,1.2091,34.1852,5.7951%
4/24/2024,1.3140,1.2100,33.7320,8.6130%
4/25/2024,1.2680,1.2027,31.8655,4.7761%
4/26/2024,1.3060,1.2392,33.0845,8.6251%
4/29/2024,1.3160,1.2337,32.8033,6.0692%
4/30/2024,1.3170,1.2097,32.0982,6.7780%
