日期,收盘价,净值,估值,溢价率
8/25/2025,1.8660,1.6967,35.2294,9.6679%
8/26/2025,1.8600,1.7048,35.3442,9.3796%
8/27/2025,1.8880,1.7061,34.9238,10.7656%
8/28/2025,1.8650,1.7201,35.2035,9.1856%
8/29/2025,1.8530,1.6953,34.7727,7.6199%
9/1/2025,1.8040,1.6961,34.7828,6.4244%
9/2/2025,1.8150,1.6829,34.4591,7.0607%
9/3/2025,1.8210,1.7104,35.3547,8.2704%
9/4/2025,1.8620,1.7221,35.3279,8.8125%
9/5/2025,1.8790,1.7303,35.3579,8.9970%
9/8/2025,1.8610,1.7412,35.5144,7.5474%
9/9/2025,1.8730,1.7476,35.7971,7.4954%
9/10/2025,1.9010,1.7610,36.0211,8.7218%
9/11/2025,1.8970,1.7661,36.1411,7.7657%
9/12/2025,1.8900,1.7760,36.3948,6.9610%
9/15/2025,1.9060,1.7992,37.0221,7.2655%
9/16/2025,1.9400,1.7958,36.9263,7.8137%
9/17/2025,1.9250,1.7840,36.6629,7.1588%
9/18/2025,1.9450,1.8133,37.1537,9.0308%
9/19/2025,1.9840,1.8288,37.5342,9.4500%
9/22/2025,2.0210,1.8409,37.8526,10.5338%
9/23/2025,2.0320,1.8260,37.5002,10.3209%
9/24/2025,2.0320,1.8175,37.2414,11.2388%
9/25/2025,2.0220,1.8148,37.1962,11.3068%
9/26/2025,2.0280,1.8193,37.2618,11.8156%
9/29/2025,2.0620,1.8224,37.2120,13.3777%
9/30/2025,2.0620,1.8284,37.3897,13.0297%
10/9/2025,2.1000,1.8674,37.9813,11.9522%
10/10/2025,2.0810,1.7922,36.5719,11.3966%
10/13/2025,2.0600,1.8408,37.5601,15.0452%
10/14/2025,2.0250,1.8212,37.1604,9.8097%
10/15/2025,2.0860,1.8428,37.5808,14.6091%
10/16/2025,2.1310,1.8408,37.5866,15.5389%
10/17/2025,2.0970,1.8488,37.8221,13.8807%
10/20/2025,2.1680,1.8755,38.3425,17.2082%
10/21/2025,2.1930,1.8654,38.0566,16.8914%
10/22/2025,2.2030,1.8505,37.8412,18.0474%
10/23/2025,2.2030,1.8686,37.0723,19.1262%
10/24/2025,2.2380,1.9008,37.7444,19.6599%
10/27/2025,2.2700,1.9418,38.7039,19.3606%
10/28/2025,2.2590,1.9580,39.1265,16.1559%
10/29/2025,2.2730,1.9793,39.2790,16.0108%
10/30/2025,2.2740,1.9463,37.9413,14.8253%
10/31/2025,2.2800,1.9415,37.7779,17.2478%
11/3/2025,2.2910,1.9460,37.9204,18.0441%
11/4/2025,2.2280,1.8988,37.0782,14.4501%
11/5/2025,2.2120,1.9146,37.5798,16.6359%
11/6/2025,2.2750,1.8788,36.9952,18.8052%
11/7/2025,2.2440,1.8671,36.7158,19.4634%
11/10/2025,2.2650,1.9190,37.8405,21.2916%
11/11/2025,2.2550,1.9052,37.6511,17.4173%
11/12/2025,2.2570,1.9015,37.4968,18.5150%
11/13/2025,2.2510,1.8566,36.5866,18.3304%
11/14/2025,2.1730,1.8609,36.6930,17.2060%
11/17/2025,2.1980,1.8466,36.6083,18.0324%
11/18/2025,2.1200,1.8232,36.0837,14.8180%
11/19/2025,2.1010,1.8420,35.9585,15.3635%
11/20/2025,2.2120,1.7972,35.1805,20.0608%
11/21/2025,2.1220,1.8094,35.5053,18.2766%
11/24/2025,2.1590,1.8732,36.8199,19.2291%
11/25/2025,2.2370,1.8843,37.0069,19.1922%
11/26/2025,2.2490,1.9003,37.2308,19.2914%
11/27/2025,2.2350,1.8998,37.2308,17.5202%
11/28/2025,2.2700,1.9152,37.4055,19.4548%
12/1/2025,2.2680,1.9057,37.2548,18.3901%
12/2/2025,2.2690,1.9248,37.4218,19.0264%
12/3/2025,2.3230,1.9278,37.4181,20.6941%
12/4/2025,2.3280,1.9297,37.4757,20.6843%
12/5/2025,2.3480,1.9454,37.7118,21.6454%
12/8/2025,2.3480,1.9485,37.6818,20.6764%
12/9/2025,2.3440,1.9544,37.7977,20.3162%
12/10/2025,2.3950,1.9609,37.8765,22.5377%
12/11/2025,2.3660,1.9460,37.3084,20.6097%
12/12/2025,2.3460,1.8921,36.4638,20.4745%
12/15/2025,2.3050,1.8746,36.1861,21.8803%
12/16/2025,2.2640,1.8780,36.2476,20.8498%
12/17/2025,2.3130,1.8313,35.3292,23.0581%
12/18/2025,2.2880,1.8643,35.7857,25.0273%
12/19/2025,2.2870,1.8952,36.3984,22.5879%
12/22/2025,2.3420,1.9046,36.5822,23.4191%
12/23/2025,2.3340,1.9182,36.9934,22.5454%
12/24/2025,2.3310,1.9209,37.0453,21.3936%
12/25/2025,2.3210,1.9188,37.0453,20.7345%
12/26/2025,2.3090,1.9180,37.0641,20.2041%
12/29/2025,2.2910,1.9087,36.9188,19.3851%
12/30/2025,2.3100,1.9087,36.8886,20.9994%
12/31/2025,2.29,1.9062,1.906,20.13%
1/6/2026,2.335,1.8986,1.8993,22.99%
1/7/2026,2.331,1.9132,1.9138,21.84%
1/8/2026,2.299,1.9174,1.9176,19.90%
1/9/2026,2.302,1.895,1.894,21.48%
1/12/2026,2.283,1.9158,1.9166,19.17%
1/13/2026,2.307,1.9190,1.9192,20.22%
1/14/2026,2.289,1.9176,1.9175,19.37%
1/15/2026,2.282,1.8908,1.8898,20.69%
1/16/2026,2.268,1.8964,1.8967,19.60%
1/19/2026,2.214,1.8976,1.8977,16.67%
1/20/2026,2.192,1.8968,1.8968,15.56%

